,Unnamed: 0,filenames,folder_name,durations,view,labels,metadata,labels_single
0,0,0001_001_00831-00895_14.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],"{'sample_id': '0001_001_00831-00895_14', 'start_frame': 164, 'end_frame': 228, 'label': [14], 'view': 'center', 'filenames': '0001_001_00831-00895_14.mp4', 'durations': 64}",14
1,1,0001_002_01697-01761_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0001_002_01697-01761_11', 'start_frame': 831, 'end_frame': 895, 'label': [11], 'view': 'center', 'filenames': '0001_002_01697-01761_11.mp4', 'durations': 64}",11
2,2,0001_004_06317-06381_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_004_06317-06381_7', 'start_frame': 4835, 'end_frame': 4899, 'label': [7], 'view': 'center', 'filenames': '0001_004_06317-06381_7.mp4', 'durations': 64}",7
3,3,0001_006_06501-06565_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_006_06501-06565_8', 'start_frame': 6437, 'end_frame': 6501, 'label': [8], 'view': 'center', 'filenames': '0001_006_06501-06565_8.mp4', 'durations': 64}",8
4,4,0001_008_06611-06675_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_008_06611-06675_8', 'start_frame': 6547, 'end_frame': 6611, 'label': [8], 'view': 'center', 'filenames': '0001_008_06611-06675_8.mp4', 'durations': 64}",8
5,5,0001_010_06670-06734_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_010_06670-06734_8', 'start_frame': 6620, 'end_frame': 6684, 'label': [8], 'view': 'center', 'filenames': '0001_010_06670-06734_8.mp4', 'durations': 64}",8
6,6,0001_012_06798-06862_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_012_06798-06862_8', 'start_frame': 6734, 'end_frame': 6798, 'label': [8], 'view': 'center', 'filenames': '0001_012_06798-06862_8.mp4', 'durations': 64}",8
7,7,0001_014_06906-06970_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_014_06906-06970_8', 'start_frame': 6862, 'end_frame': 6926, 'label': [8], 'view': 'center', 'filenames': '0001_014_06906-06970_8.mp4', 'durations': 64}",8
8,8,0001_016_06974-07038_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_016_06974-07038_8', 'start_frame': 6970, 'end_frame': 7034, 'label': [8], 'view': 'center', 'filenames': '0001_016_06974-07038_8.mp4', 'durations': 64}",8
9,9,0001_018_07102-07166_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_018_07102-07166_8', 'start_frame': 7038, 'end_frame': 7102, 'label': [8], 'view': 'center', 'filenames': '0001_018_07102-07166_8.mp4', 'durations': 64}",8
10,10,0001_020_07730-07794_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_020_07730-07794_8', 'start_frame': 7166, 'end_frame': 7230, 'label': [8], 'view': 'center', 'filenames': '0001_020_07730-07794_8.mp4', 'durations': 64}",8
11,11,0001_021_08424-08488_1.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_021_08424-08488_1', 'start_frame': 7730, 'end_frame': 7794, 'label': [1], 'view': 'center', 'filenames': '0001_021_08424-08488_1.mp4', 'durations': 64}",1
12,12,0001_024_10817-10881_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_024_10817-10881_8', 'start_frame': 10753, 'end_frame': 10817, 'label': [8], 'view': 'center', 'filenames': '0001_024_10817-10881_8.mp4', 'durations': 64}",8
13,13,0001_026_11972-12036_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_026_11972-12036_8', 'start_frame': 11908, 'end_frame': 11972, 'label': [8], 'view': 'center', 'filenames': '0001_026_11972-12036_8.mp4', 'durations': 64}",8
14,14,0001_028_13846-13910_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_028_13846-13910_8', 'start_frame': 12580, 'end_frame': 12644, 'label': [8], 'view': 'center', 'filenames': '0001_028_13846-13910_8.mp4', 'durations': 64}",8
15,15,0001_030_14492-14556_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_030_14492-14556_8', 'start_frame': 13910, 'end_frame': 13974, 'label': [8], 'view': 'center', 'filenames': '0001_030_14492-14556_8.mp4', 'durations': 64}",8
16,16,0001_031_14618-14682_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0001_031_14618-14682_11', 'start_frame': 14492, 'end_frame': 14556, 'label': [11], 'view': 'center', 'filenames': '0001_031_14618-14682_11.mp4', 'durations': 64}",11
17,17,0001_033_14746-14810_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_033_14746-14810_8', 'start_frame': 14682, 'end_frame': 14746, 'label': [8], 'view': 'center', 'filenames': '0001_033_14746-14810_8.mp4', 'durations': 64}",8
18,18,0001_035_14850-14914_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_035_14850-14914_8', 'start_frame': 14810, 'end_frame': 14874, 'label': [8], 'view': 'center', 'filenames': '0001_035_14850-14914_8.mp4', 'durations': 64}",8
19,19,0001_037_14930-14994_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_037_14930-14994_8', 'start_frame': 14914, 'end_frame': 14978, 'label': [8], 'view': 'center', 'filenames': '0001_037_14930-14994_8.mp4', 'durations': 64}",8
20,20,0001_039_15051-15115_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_039_15051-15115_8', 'start_frame': 14994, 'end_frame': 15058, 'label': [8], 'view': 'center', 'filenames': '0001_039_15051-15115_8.mp4', 'durations': 64}",8
21,21,0001_041_15519-15583_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_041_15519-15583_7', 'start_frame': 15133, 'end_frame': 15197, 'label': [7], 'view': 'center', 'filenames': '0001_041_15519-15583_7.mp4', 'durations': 64}",7
22,22,0001_042_15583-15647_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_042_15583-15647_8', 'start_frame': 15519, 'end_frame': 15583, 'label': [8], 'view': 'center', 'filenames': '0001_042_15583-15647_8.mp4', 'durations': 64}",8
23,23,0001_044_15845-15909_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_044_15845-15909_8', 'start_frame': 15684, 'end_frame': 15748, 'label': [8], 'view': 'center', 'filenames': '0001_044_15845-15909_8.mp4', 'durations': 64}",8
24,24,0001_046_16154-16218_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_046_16154-16218_7', 'start_frame': 16090, 'end_frame': 16154, 'label': [7], 'view': 'center', 'filenames': '0001_046_16154-16218_7.mp4', 'durations': 64}",7
25,25,0001_048_18654-18718_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_048_18654-18718_7', 'start_frame': 17364, 'end_frame': 17428, 'label': [7], 'view': 'center', 'filenames': '0001_048_18654-18718_7.mp4', 'durations': 64}",7
29,29,0002_003_00460-00524_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_003_00460-00524_7', 'start_frame': 205, 'end_frame': 269, 'label': [7], 'view': 'center', 'filenames': '0002_003_00460-00524_7.mp4', 'durations': 64}",7
31,31,0002_007_01005-01069_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_007_01005-01069_7', 'start_frame': 941, 'end_frame': 1005, 'label': [7], 'view': 'center', 'filenames': '0002_007_01005-01069_7.mp4', 'durations': 64}",7
33,33,0002_010_01274-01338_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_010_01274-01338_7', 'start_frame': 1096, 'end_frame': 1160, 'label': [7], 'view': 'center', 'filenames': '0002_010_01274-01338_7.mp4', 'durations': 64}",7
34,34,0002_012_01402-01466_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_012_01402-01466_7', 'start_frame': 1338, 'end_frame': 1402, 'label': [7], 'view': 'center', 'filenames': '0002_012_01402-01466_7.mp4', 'durations': 64}",7
35,35,0002_014_02225-02289_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0002_014_02225-02289_13', 'start_frame': 1689, 'end_frame': 1753, 'label': [13], 'view': 'center', 'filenames': '0002_014_02225-02289_13.mp4', 'durations': 64}",13
37,37,0002_017_02545-02609_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_017_02545-02609_0', 'start_frame': 2481, 'end_frame': 2545, 'label': [0], 'view': 'center', 'filenames': '0002_017_02545-02609_0.mp4', 'durations': 64}",0
38,38,0002_019_03714-03778_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_019_03714-03778_0', 'start_frame': 3584, 'end_frame': 3648, 'label': [0], 'view': 'center', 'filenames': '0002_019_03714-03778_0.mp4', 'durations': 64}",0
39,39,0002_021_05810-05874_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_021_05810-05874_0', 'start_frame': 3884, 'end_frame': 3948, 'label': [0], 'view': 'center', 'filenames': '0002_021_05810-05874_0.mp4', 'durations': 64}",0
40,40,0002_022_05874-05938_2.mp4,,64,center,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_022_05874-05938_2', 'start_frame': 5810, 'end_frame': 5874, 'label': [2], 'view': 'center', 'filenames': '0002_022_05874-05938_2.mp4', 'durations': 64}",2
41,41,0002_024_09691-09755_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_024_09691-09755_7', 'start_frame': 6631, 'end_frame': 6695, 'label': [7], 'view': 'center', 'filenames': '0002_024_09691-09755_7.mp4', 'durations': 64}",7
42,42,0002_026_11253-11317_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_026_11253-11317_0', 'start_frame': 11189, 'end_frame': 11253, 'label': [0], 'view': 'center', 'filenames': '0002_026_11253-11317_0.mp4', 'durations': 64}",0
43,43,0002_029_13657-13721_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_029_13657-13721_0', 'start_frame': 12465, 'end_frame': 12529, 'label': [0], 'view': 'center', 'filenames': '0002_029_13657-13721_0.mp4', 'durations': 64}",0
44,44,0002_030_13721-13785_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_030_13721-13785_0', 'start_frame': 13657, 'end_frame': 13721, 'label': [0], 'view': 'center', 'filenames': '0002_030_13721-13785_0.mp4', 'durations': 64}",0
45,45,0002_031_14891-14955_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_031_14891-14955_0', 'start_frame': 13721, 'end_frame': 13785, 'label': [0], 'view': 'center', 'filenames': '0002_031_14891-14955_0.mp4', 'durations': 64}",0
46,46,0002_032_20126-20190_2.mp4,,64,center,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_032_20126-20190_2', 'start_frame': 14891, 'end_frame': 14955, 'label': [2], 'view': 'center', 'filenames': '0002_032_20126-20190_2.mp4', 'durations': 64}",2
47,47,0002_034_21527-21591_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_034_21527-21591_0', 'start_frame': 21463, 'end_frame': 21527, 'label': [0], 'view': 'center', 'filenames': '0002_034_21527-21591_0.mp4', 'durations': 64}",0
48,48,0002_035_23740-23804_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_035_23740-23804_0', 'start_frame': 21527, 'end_frame': 21591, 'label': [0], 'view': 'center', 'filenames': '0002_035_23740-23804_0.mp4', 'durations': 64}",0
49,49,0002_036_24317-24381_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0002_036_24317-24381_13', 'start_frame': 23740, 'end_frame': 23804, 'label': [13], 'view': 'center', 'filenames': '0002_036_24317-24381_13.mp4', 'durations': 64}",13
50,50,0002_038_25765-25829_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_038_25765-25829_7', 'start_frame': 25590, 'end_frame': 25654, 'label': [7], 'view': 'center', 'filenames': '0002_038_25765-25829_7.mp4', 'durations': 64}",7
52,52,0003_003_01830-01894_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0003_003_01830-01894_7', 'start_frame': 1766, 'end_frame': 1830, 'label': [7], 'view': 'center', 'filenames': '0003_003_01830-01894_7.mp4', 'durations': 64}",7
53,53,0003_005_05223-05287_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0003_005_05223-05287_7', 'start_frame': 1894, 'end_frame': 1958, 'label': [7], 'view': 'center', 'filenames': '0003_005_05223-05287_7.mp4', 'durations': 64}",7
54,54,0003_006_05287-05351_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0003_006_05287-05351_8', 'start_frame': 5223, 'end_frame': 5287, 'label': [8], 'view': 'center', 'filenames': '0003_006_05287-05351_8.mp4', 'durations': 64}",8
55,55,0003_008_05367-05431_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0003_008_05367-05431_8', 'start_frame': 5303, 'end_frame': 5367, 'label': [8], 'view': 'center', 'filenames': '0003_008_05367-05431_8.mp4', 'durations': 64}",8
56,56,0003_010_08788-08852_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0003_010_08788-08852_8', 'start_frame': 8724, 'end_frame': 8788, 'label': [8], 'view': 'center', 'filenames': '0003_010_08788-08852_8.mp4', 'durations': 64}",8
57,57,0003_012_08891-08955_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0003_012_08891-08955_8', 'start_frame': 8827, 'end_frame': 8891, 'label': [8], 'view': 'center', 'filenames': '0003_012_08891-08955_8.mp4', 'durations': 64}",8
