,Unnamed: 0,filenames,folder_name,durations,view,labels,metadata
0,0,0001_001_00831-00895_14.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],"{'sample_id': '0001_001_00831-00895_14', 'start_frame': 164, 'end_frame': 228, 'label': [14], 'view': 'center', 'filenames': '0001_001_00831-00895_14.mp4', 'durations': 64}"
1,1,0001_002_01697-01761_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0001_002_01697-01761_11', 'start_frame': 831, 'end_frame': 895, 'label': [11], 'view': 'center', 'filenames': '0001_002_01697-01761_11.mp4', 'durations': 64}"
2,2,0001_004_06317-06381_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_004_06317-06381_7', 'start_frame': 4835, 'end_frame': 4899, 'label': [7], 'view': 'center', 'filenames': '0001_004_06317-06381_7.mp4', 'durations': 64}"
11,11,0001_021_08424-08488_1.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_021_08424-08488_1', 'start_frame': 7730, 'end_frame': 7794, 'label': [1], 'view': 'center', 'filenames': '0001_021_08424-08488_1.mp4', 'durations': 64}"
16,16,0001_031_14618-14682_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0001_031_14618-14682_11', 'start_frame': 14492, 'end_frame': 14556, 'label': [11], 'view': 'center', 'filenames': '0001_031_14618-14682_11.mp4', 'durations': 64}"
21,21,0001_041_15519-15583_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_041_15519-15583_7', 'start_frame': 15133, 'end_frame': 15197, 'label': [7], 'view': 'center', 'filenames': '0001_041_15519-15583_7.mp4', 'durations': 64}"
24,24,0001_046_16154-16218_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_046_16154-16218_7', 'start_frame': 16090, 'end_frame': 16154, 'label': [7], 'view': 'center', 'filenames': '0001_046_16154-16218_7.mp4', 'durations': 64}"
25,25,0001_048_18654-18718_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_048_18654-18718_7', 'start_frame': 17364, 'end_frame': 17428, 'label': [7], 'view': 'center', 'filenames': '0001_048_18654-18718_7.mp4', 'durations': 64}"
28,28,0002_002_00205-00269_11-7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0002_002_00205-00269_11-7', 'start_frame': 181, 'end_frame': 245, 'label': [11, 7], 'view': 'center', 'filenames': '0002_002_00205-00269_11-7.mp4', 'durations': 64}"
29,29,0002_003_00460-00524_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_003_00460-00524_7', 'start_frame': 205, 'end_frame': 269, 'label': [7], 'view': 'center', 'filenames': '0002_003_00460-00524_7.mp4', 'durations': 64}"
