,filenames,folder_name,durations,view,labels,metadata
0,0001_001_00831-00895_14.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],"{'sample_id': '0001_001_00831-00895_14', 'start_frame': 164, 'end_frame': 228, 'label': [14], 'view': 'center', 'filenames': '0001_001_00831-00895_14.mp4', 'durations': 64}"
1,0001_002_01697-01761_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0001_002_01697-01761_11', 'start_frame': 831, 'end_frame': 895, 'label': [11], 'view': 'center', 'filenames': '0001_002_01697-01761_11.mp4', 'durations': 64}"
2,0001_004_06317-06381_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_004_06317-06381_7', 'start_frame': 4835, 'end_frame': 4899, 'label': [7], 'view': 'center', 'filenames': '0001_004_06317-06381_7.mp4', 'durations': 64}"
3,0001_006_06501-06565_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_006_06501-06565_8', 'start_frame': 6437, 'end_frame': 6501, 'label': [8], 'view': 'center', 'filenames': '0001_006_06501-06565_8.mp4', 'durations': 64}"
4,0001_008_06611-06675_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_008_06611-06675_8', 'start_frame': 6547, 'end_frame': 6611, 'label': [8], 'view': 'center', 'filenames': '0001_008_06611-06675_8.mp4', 'durations': 64}"
5,0001_010_06670-06734_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_010_06670-06734_8', 'start_frame': 6620, 'end_frame': 6684, 'label': [8], 'view': 'center', 'filenames': '0001_010_06670-06734_8.mp4', 'durations': 64}"
6,0001_012_06798-06862_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_012_06798-06862_8', 'start_frame': 6734, 'end_frame': 6798, 'label': [8], 'view': 'center', 'filenames': '0001_012_06798-06862_8.mp4', 'durations': 64}"
7,0001_014_06906-06970_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_014_06906-06970_8', 'start_frame': 6862, 'end_frame': 6926, 'label': [8], 'view': 'center', 'filenames': '0001_014_06906-06970_8.mp4', 'durations': 64}"
8,0001_016_06974-07038_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_016_06974-07038_8', 'start_frame': 6970, 'end_frame': 7034, 'label': [8], 'view': 'center', 'filenames': '0001_016_06974-07038_8.mp4', 'durations': 64}"
9,0001_018_07102-07166_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_018_07102-07166_8', 'start_frame': 7038, 'end_frame': 7102, 'label': [8], 'view': 'center', 'filenames': '0001_018_07102-07166_8.mp4', 'durations': 64}"
10,0001_020_07730-07794_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_020_07730-07794_8', 'start_frame': 7166, 'end_frame': 7230, 'label': [8], 'view': 'center', 'filenames': '0001_020_07730-07794_8.mp4', 'durations': 64}"
11,0001_021_08424-08488_1.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_021_08424-08488_1', 'start_frame': 7730, 'end_frame': 7794, 'label': [1], 'view': 'center', 'filenames': '0001_021_08424-08488_1.mp4', 'durations': 64}"
12,0001_024_10817-10881_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0001_024_10817-10881_8', 'start_frame': 10753, 'end_frame': 10817, 'label': [8], 'view': 'center', 'filenames': '0001_024_10817-10881_8.mp4', 'durations': 64}"
