,filenames,blean,fidg,flean,fmov,hmov,hnod,hshk,htfa,readj,shrai,bg
0,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_FEATURES/VideoMAE_ViT-B_checkpoint_Kinetics-400/Cam3_segmented_split/left/features/feat_0000.npy,0,0,0,1,0,0,0,0,0,0,0
2,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_FEATURES/VideoMAE_ViT-B_checkpoint_Kinetics-400/Cam3_segmented_split/left/features/feat_0002.npy,0,0,0,0,0,0,0,0,0,0,1
3,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_FEATURES/VideoMAE_ViT-B_checkpoint_Kinetics-400/Cam3_segmented_split/left/features/feat_0003.npy,0,0,0,0,0,0,0,0,0,0,1
4,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_FEATURES/VideoMAE_ViT-B_checkpoint_Kinetics-400/Cam3_segmented_split/left/features/feat_0004.npy,0,0,0,0,1,1,0,0,0,0,0
5,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_FEATURES/VideoMAE_ViT-B_checkpoint_Kinetics-400/Cam3_segmented_split/left/features/feat_0005.npy,0,0,0,0,1,1,0,0,0,0,0
6,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_FEATURES/VideoMAE_ViT-B_checkpoint_Kinetics-400/Cam3_segmented_split/left/features/feat_0006.npy,0,1,0,1,1,1,0,0,0,0,0
7,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_FEATURES/VideoMAE_ViT-B_checkpoint_Kinetics-400/Cam3_segmented_split/left/features/feat_0007.npy,0,0,0,0,0,0,0,0,0,0,1
8,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_FEATURES/VideoMAE_ViT-B_checkpoint_Kinetics-400/Cam3_segmented_split/left/features/feat_0008.npy,0,0,0,0,1,1,0,0,0,0,0
9,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_FEATURES/VideoMAE_ViT-B_checkpoint_Kinetics-400/Cam3_segmented_split/left/features/feat_0009.npy,0,0,0,0,1,1,0,0,0,0,0
10,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_FEATURES/VideoMAE_ViT-B_checkpoint_Kinetics-400/Cam3_segmented_split/left/features/feat_0010.npy,0,0,0,0,0,0,0,0,0,0,1
11,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_FEATURES/VideoMAE_ViT-B_checkpoint_Kinetics-400/Cam3_segmented_split/left/features/feat_0011.npy,0,0,0,0,0,0,0,0,0,0,1
12,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_FEATURES/VideoMAE_ViT-B_checkpoint_Kinetics-400/Cam3_segmented_split/left/features/feat_0012.npy,0,0,0,0,0,0,0,0,0,0,1
13,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_FEATURES/VideoMAE_ViT-B_checkpoint_Kinetics-400/Cam3_segmented_split/left/features/feat_0013.npy,0,0,0,0,1,1,0,0,0,0,0
14,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_FEATURES/VideoMAE_ViT-B_checkpoint_Kinetics-400/Cam3_segmented_split/left/features/feat_0014.npy,0,0,0,0,0,0,0,0,0,0,1
15,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_FEATURES/VideoMAE_ViT-B_checkpoint_Kinetics-400/Cam3_segmented_split/left/features/feat_0015.npy,0,0,0,0,1,1,0,0,0,0,0
