,filenames,labels
0,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_SPLIT/Cam3_segmented_split/right/0000.mp4,[0 0 0 0 0 0 0 0 0 0 0 1]
1,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_SPLIT/Cam4_segmented_split/right/0000.mp4,[0 0 0 0 0 0 0 0 0 0 0 1]
2,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_SPLIT/Cam3_segmented_split/left/0000.mp4,[0 0 0 1 0 0 0 0 0 0 1 0]
3,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_SPLIT/Cam4_segmented_split/left/0000.mp4,[0 0 0 1 0 0 0 0 0 0 1 0]
4,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_SPLIT/Cam3_segmented_split/right/0001.mp4,[0 0 0 0 0 0 0 0 0 0 0 1]
5,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_SPLIT/Cam4_segmented_split/right/0001.mp4,[0 0 0 0 0 0 0 0 0 0 0 1]
6,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_SPLIT/Cam3_segmented_split/right/0002.mp4,[0 0 0 0 0 0 0 0 0 0 0 1]
7,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_SPLIT/Cam4_segmented_split/right/0002.mp4,[0 0 0 0 0 0 0 0 0 0 0 1]
8,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_SPLIT/Cam3_segmented_split/left/0002.mp4,[0 0 0 0 0 0 0 0 0 0 0 1]
9,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_SPLIT/Cam4_segmented_split/left/0002.mp4,[0 0 0 0 0 0 0 0 0 0 0 1]
10,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_SPLIT/Cam3_segmented_split/right/0003.mp4,[0 0 0 0 0 0 0 0 0 0 0 1]
11,/videos/mpi_data/2Itzik/dyadic_communication/PIS_ID_000_SPLIT/Cam4_segmented_split/right/0003.mp4,[0 0 0 0 0 0 0 0 0 0 0 1]
