,filenames,labels
0,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/right/0000.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
1,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_02/Cam1/right/0000.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
2,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_02/Cam2/right/0000.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
3,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_02/Cam3/right/0000.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
4,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_02/Cam4/right/0000.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
5,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_04/Cam1/right/0000.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
6,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_04/Cam3/right/0000.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
7,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_05/Cam1/right/0000.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
8,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_06/Cam2/right/0000.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
9,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_07/Cam1/right/0000.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
10,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_07/Cam3/right/0000.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
11,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_07/Cam4/right/0000.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
12,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0000.mp4,[0 0 1 1 1 1 0 0 0 0 0 0 0 1 0]
13,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0000.mp4,[0 0 1 1 1 1 0 0 0 0 0 0 0 1 0]
14,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_02/Cam3/left/0000.mp4,[0 0 1 1 1 1 0 0 0 0 0 0 0 1 0]
15,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_02/Cam4/left/0000.mp4,[0 0 1 1 1 1 0 0 0 0 0 0 0 1 0]
16,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_04/Cam2/left/0000.mp4,[0 0 1 1 1 1 0 0 0 0 0 0 0 1 0]
17,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_04/Cam3/left/0000.mp4,[0 0 1 1 1 1 0 0 0 0 0 0 0 1 0]
18,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_04/Cam4/left/0000.mp4,[0 0 1 1 1 1 0 0 0 0 0 0 0 1 0]
19,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_05/Cam1/left/0000.mp4,[0 0 1 1 1 1 0 0 0 0 0 0 0 1 0]
20,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_05/Cam2/left/0000.mp4,[0 0 1 1 1 1 0 0 0 0 0 0 0 1 0]
21,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_06/Cam2/left/0000.mp4,[0 0 1 1 1 1 0 0 0 0 0 0 0 1 0]
22,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_06/Cam3/left/0000.mp4,[0 0 1 1 1 1 0 0 0 0 0 0 0 1 0]
23,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_07/Cam1/left/0000.mp4,[0 0 1 1 1 1 0 0 0 0 0 0 0 1 0]
24,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_07/Cam2/left/0000.mp4,[0 0 1 1 1 1 0 0 0 0 0 0 0 1 0]
25,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam2/right/0001.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
26,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/right/0001.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
27,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_02/Cam1/right/0001.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
28,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_02/Cam3/right/0001.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
29,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_02/Cam4/right/0001.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
30,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_04/Cam1/right/0001.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
31,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_04/Cam2/right/0001.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
32,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_04/Cam3/right/0001.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
33,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_05/Cam1/right/0001.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
34,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_05/Cam2/right/0001.mp4,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
