,filenames,labels
0,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0000.mp4,[0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
1,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0002.mp4,[0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
2,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0002.mp4,[0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
3,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0003.mp4,[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 False True 'PIS_ID_00' 'left']
4,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0004.mp4,[0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
5,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0005.mp4,[0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
6,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0005.mp4,[0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
7,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0008.mp4,[0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
8,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0009.mp4,[0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
9,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0011.mp4,[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 False True 'PIS_ID_00' 'left']
10,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0012.mp4,[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 False True 'PIS_ID_00' 'left']
11,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0012.mp4,[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 False True 'PIS_ID_00' 'left']
12,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0013.mp4,[0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
13,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0013.mp4,[0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
14,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0014.mp4,[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 False True 'PIS_ID_00' 'left']
15,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0014.mp4,[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 False True 'PIS_ID_00' 'left']
16,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0015.mp4,[0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
17,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0015.mp4,[0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
18,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0016.mp4,[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 False True 'PIS_ID_00' 'left']
19,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0017.mp4,[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 False True 'PIS_ID_00' 'left']
20,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0018.mp4,[0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
21,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0018.mp4,[0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
22,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0019.mp4,[0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
23,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0020.mp4,[0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
24,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0021.mp4,[0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
25,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0021.mp4,[0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
26,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0022.mp4,[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 False True 'PIS_ID_00' 'left']
27,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0022.mp4,[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 False True 'PIS_ID_00' 'left']
28,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0023.mp4,[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 False True 'PIS_ID_00' 'left']
29,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0025.mp4,[1.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 True False 'PIS_ID_00' 'left']
30,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0027.mp4,[0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
31,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0027.mp4,[0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
32,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0029.mp4,[0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
33,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0029.mp4,[0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
34,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0030.mp4,[0.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
35,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0030.mp4,[0.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
36,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0032.mp4,[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 False True 'PIS_ID_00' 'left']
37,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0033.mp4,[0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
38,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0033.mp4,[0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
39,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0034.mp4,[0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
40,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0034.mp4,[0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
41,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0035.mp4,[0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
42,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0035.mp4,[0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
43,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0036.mp4,[0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
44,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0038.mp4,[0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
45,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0038.mp4,[0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
46,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0039.mp4,[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 False True 'PIS_ID_00' 'left']
47,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0040.mp4,[0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
48,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0040.mp4,[0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
49,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0042.mp4,[0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
50,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0043.mp4,[0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 True False 'PIS_ID_00' 'left']
51,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0046.mp4,[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 False True 'PIS_ID_00' 'left']
52,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam4/left/0046.mp4,[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 False True 'PIS_ID_00' 'left']
53,/videos/mpi_data/2Itzik/dyadic_communication/SPLIT/PIS_ID_00/Cam3/left/0047.mp4,[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 False True 'PIS_ID_00' 'left']
