,filenames,folder_name,durations,view,labels,metadata
0,Sample0001_color_0001.mp4,train,76,center,14,"{'sample_id': '0001_0001', 'start_frame': 100, 'end_frame': 176, 'label_txt': 'Pulling shirt collar', 'label': 15, 'view': 'center', 'filenames': 'Sample0001_color_0001.mp4', 'durations': 76}"
1,Sample0001_color_0002.mp4,train,52,center,11,"{'sample_id': '0001_0002', 'start_frame': 837, 'end_frame': 889, 'label_txt': 'Scratching or touching facial parts other than eyes', 'label': 12, 'view': 'center', 'filenames': 'Sample0001_color_0002.mp4', 'durations': 52}"
2,Sample0001_color_0003.mp4,train,39,center,11,"{'sample_id': '0001_0003', 'start_frame': 1710, 'end_frame': 1749, 'label_txt': 'Scratching or touching facial parts other than eyes', 'label': 12, 'view': 'center', 'filenames': 'Sample0001_color_0003.mp4', 'durations': 39}"
3,Sample0001_color_0004.mp4,train,36,center,7,"{'sample_id': '0001_0004', 'start_frame': 4849, 'end_frame': 4885, 'label_txt': 'Rubbing hands and crossing finger', 'label': 8, 'view': 'center', 'filenames': 'Sample0001_color_0004.mp4', 'durations': 36}"
4,Sample0001_color_0005.mp4,train,38,center,8,"{'sample_id': '0001_0005', 'start_frame': 6330, 'end_frame': 6368, 'label_txt': 'Arms akimbo', 'label': 9, 'view': 'center', 'filenames': 'Sample0001_color_0005.mp4', 'durations': 38}"
5,Sample0001_color_0006.mp4,train,111,center,8,"{'sample_id': '0001_0006', 'start_frame': 6437, 'end_frame': 6548, 'label_txt': 'Arms akimbo', 'label': 9, 'view': 'center', 'filenames': 'Sample0001_color_0006.mp4', 'durations': 111}"
6,Sample0001_color_0007.mp4,train,88,center,8,"{'sample_id': '0001_0007', 'start_frame': 6547, 'end_frame': 6635, 'label_txt': 'Arms akimbo', 'label': 9, 'view': 'center', 'filenames': 'Sample0001_color_0007.mp4', 'durations': 88}"
7,Sample0001_color_0008.mp4,train,37,center,8,"{'sample_id': '0001_0008', 'start_frame': 6634, 'end_frame': 6671, 'label_txt': 'Arms akimbo', 'label': 9, 'view': 'center', 'filenames': 'Sample0001_color_0008.mp4', 'durations': 37}"
8,Sample0001_color_0009.mp4,train,237,center,8,"{'sample_id': '0001_0009', 'start_frame': 6670, 'end_frame': 6907, 'label_txt': 'Arms akimbo', 'label': 9, 'view': 'center', 'filenames': 'Sample0001_color_0009.mp4', 'durations': 237}"
9,Sample0001_color_0010.mp4,train,69,center,8,"{'sample_id': '0001_0010', 'start_frame': 6906, 'end_frame': 6975, 'label_txt': 'Arms akimbo', 'label': 9, 'view': 'center', 'filenames': 'Sample0001_color_0010.mp4', 'durations': 69}"
10,Sample0001_color_0011.mp4,train,225,center,8,"{'sample_id': '0001_0011', 'start_frame': 6974, 'end_frame': 7199, 'label_txt': 'Arms akimbo', 'label': 9, 'view': 'center', 'filenames': 'Sample0001_color_0011.mp4', 'durations': 225}"
11,Sample0001_color_0012.mp4,train,41,center,1,"{'sample_id': '0001_0012', 'start_frame': 7742, 'end_frame': 7783, 'label_txt': 'Rubbing eyes and forehead', 'label': 2, 'view': 'center', 'filenames': 'Sample0001_color_0012.mp4', 'durations': 41}"
12,Sample0001_color_0013.mp4,train,55,center,7,"{'sample_id': '0001_0013', 'start_frame': 8429, 'end_frame': 8484, 'label_txt': 'Rubbing hands and crossing finger', 'label': 8, 'view': 'center', 'filenames': 'Sample0001_color_0013.mp4', 'durations': 55}"
13,Sample0001_color_0014.mp4,train,148,center,8,"{'sample_id': '0001_0014', 'start_frame': 10689, 'end_frame': 10837, 'label_txt': 'Arms akimbo', 'label': 9, 'view': 'center', 'filenames': 'Sample0001_color_0014.mp4', 'durations': 148}"
14,Sample0001_color_0015.mp4,train,80,center,8,"{'sample_id': '0001_0015', 'start_frame': 11908, 'end_frame': 11988, 'label_txt': 'Arms akimbo', 'label': 9, 'view': 'center', 'filenames': 'Sample0001_color_0015.mp4', 'durations': 80}"
15,Sample0001_color_0016.mp4,train,47,center,8,"{'sample_id': '0001_0016', 'start_frame': 12589, 'end_frame': 12636, 'label_txt': 'Arms akimbo', 'label': 9, 'view': 'center', 'filenames': 'Sample0001_color_0016.mp4', 'durations': 47}"
16,Sample0001_color_0017.mp4,train,72,center,8,"{'sample_id': '0001_0017', 'start_frame': 13846, 'end_frame': 13918, 'label_txt': 'Arms akimbo', 'label': 9, 'view': 'center', 'filenames': 'Sample0001_color_0017.mp4', 'durations': 72}"
17,Sample0001_color_0018.mp4,train,50,center,11,"{'sample_id': '0001_0018', 'start_frame': 14499, 'end_frame': 14549, 'label_txt': 'Scratching or touching facial parts other than eyes', 'label': 12, 'view': 'center', 'filenames': 'Sample0001_color_0018.mp4', 'durations': 50}"
18,Sample0001_color_0019.mp4,train,232,center,8,"{'sample_id': '0001_0019', 'start_frame': 14618, 'end_frame': 14850, 'label_txt': 'Arms akimbo', 'label': 9, 'view': 'center', 'filenames': 'Sample0001_color_0019.mp4', 'durations': 232}"
19,Sample0001_color_0020.mp4,train,80,center,8,"{'sample_id': '0001_0020', 'start_frame': 14850, 'end_frame': 14930, 'label_txt': 'Arms akimbo', 'label': 9, 'view': 'center', 'filenames': 'Sample0001_color_0020.mp4', 'durations': 80}"
20,Sample0001_color_0021.mp4,train,122,center,8,"{'sample_id': '0001_0021', 'start_frame': 14930, 'end_frame': 15052, 'label_txt': 'Arms akimbo', 'label': 9, 'view': 'center', 'filenames': 'Sample0001_color_0021.mp4', 'durations': 122}"
21,Sample0001_color_0022.mp4,train,62,center,8,"{'sample_id': '0001_0022', 'start_frame': 15052, 'end_frame': 15114, 'label_txt': 'Arms akimbo', 'label': 9, 'view': 'center', 'filenames': 'Sample0001_color_0022.mp4', 'durations': 62}"
